Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;9;12;16.2272727273;1752.2;35394440
France;1901;9;13;15.9272727273;1947.7;39343540
France;1901;9;14;15.7;1791.6;36190320
France;1901;9;15;15.4818181818;1824.3;36850860
France;1901;9;16;15.1909090909;1520;30704000
France;1901;9;17;14.4818181818;1398.2;28243640
France;1901;9;18;14.5909090909;1404.5;28370900
France;1901;9;19;14.3;1893.2;38242640
France;1901;9;20;15.1545454545;1818.3;36729660
France;1901;9;21;15.6363636364;1565.6;31625120
France;1901;9;22;15.5363636364;1696.1;34261220
France;1901;9;23;15.6909090909;1467.6;29645520
France;1901;9;24;14.4636363636;1549.2;31293840
France;1901;9;25;14.1909090909;1595.7;32233140
France;1901;9;26;14.0636363636;1575.3;31821060
France;1901;9;27;14.3545454545;1558.4;31479680
France;1901;9;28;14.4727272727;1474;29774800
France;1901;9;29;14.5545454545;1225.7;24759140
France;1901;9;30;14.7545454545;1322.7;26718540
France;1901;10;1;15.3727272727;1479.4;29883880
France;1901;10;2;14.7545454545;1517.2;30647440
France;1901;10;3;14.6636363636;1280.9;25874180
France;1901;10;4;14.3545454545;1244.3;25134860
France;1901;10;5;14.0181818182;1230.5;24856100
France;1901;10;6;14.2454545455;1228.8;24821760
France;1901;10;7;13.5181818182;1295.1;26161020
France;1901;10;8;13.2818181818;1245.7;25163140
France;1901;10;9;13.9909090909;1265.9;25571180
France;1901;10;10;13.5363636364;1129.4;22813880
France;1901;10;11;13.7545454545;1315.8;26579160
France;1901;10;12;13.1454545455;1179.1;23817820
France;1901;10;13;12.5454545455;1145.6;23141120
France;1901;10;14;11.7090909091;1308.2;26425640
France;1901;10;15;10.5090909091;1329.9;26863980
France;1901;10;16;10.7909090909;1243.5;25118700
France;1901;10;17;10.6454545455;1196.8;24175360
France;1901;10;18;10.1545454545;1030.4;20814080
France;1901;10;19;10.7818181818;1022;20644400
France;1901;10;20;11.3727272727;981;19816200
France;1901;10;21;10.6272727273;978.1;19757620
France;1901;10;22;11.2454545455;878.1;17737620
France;1901;10;23;11.1909090909;915.8;18499160
France;1901;10;24;10.7818181818;784.8;15852960
France;1901;10;25;11.1727272727;895.7;18093140
France;1901;10;26;11.1909090909;881.9;17814380
France;1901;10;27;10.2909090909;948.3;19155660
France;1901;10;28;10.4636363636;933.8;18862760
France;1901;10;29;10.4909090909;892.7;18032540
France;1901;10;30;9.8363636364;1028.1;20767620
France;1901;10;31;10.0909090909;848.4;17137680
France;1901;11;1;9.6272727273;757.7;15305540
France;1901;11;2;10.0090909091;850.6;17182120
France;1901;11;3;11.0454545455;900.2;18184040
France;1901;11;4;9.8636363636;575.3;11621060
France;1901;11;5;8.8636363636;733;14806600
France;1901;11;6;9.0727272727;900.8;18196160
France;1901;11;7;8.7;814.4;16450880
France;1901;11;8;8.2363636364;686.2;13861240
France;1901;11;9;8.0454545455;719.7;14537940
France;1901;11;10;7.9636363636;743.6;15020720
France;1901;11;11;8.1545454545;857.2;17315440
France;1901;11;12;8.2818181818;817.3;16509460
France;1901;11;13;8.7;798.3;16125660
France;1901;11;14;7.9818181818;607.1;12263420
France;1901;11;15;6.8636363636;708.1;14303620
France;1901;11;16;6.6363636364;767.2;15497440
France;1901;11;17;6.7818181818;684;13816800
France;1901;11;18;7.0545454545;622.1;12566420
France;1901;11;19;6.8363636364;680.6;13748120
France;1901;11;20;6.8727272727;557.9;11269580
France;1901;11;21;7.5454545455;460.9;9310180
France;1901;11;22;7.1909090909;504.7;10194940
France;1901;11;23;7.5727272727;695.9;14057180
France;1901;11;24;7.2545454545;712.8;14398560
France;1901;11;25;6.2090909091;652.8;13186560
France;1901;11;26;5.9545454545;687.6;13889520
France;1901;11;27;5.7181818182;689.6;13929920
France;1901;11;28;4.7;543.2;10972640
France;1901;11;29;4.9272727273;504.9;10198980
France;1901;11;30;4.1363636364;619.8;12519960
France;1901;12;1;5.2090909091;687.3;13883460
France;1901;12;2;5.6363636364;681.4;13764280
France;1901;12;3;5.5363636364;589.9;11915980
France;1901;12;4;5.8818181818;625.1;12627020
France;1901;12;5;6.3181818182;521.1;10526220
France;1901;12;6;5.7;535.9;10825180
France;1901;12;7;4.9363636364;498.1;10061620
France;1901;12;8;4.4636363636;623.5;12594700
France;1901;12;9;3.7909090909;607.3;12267460
France;1901;12;10;2.8818181818;716.1;14465220
France;1901;12;11;2.8;786.7;15891340
France;1901;12;12;2.8545454545;659.9;13329980
France;1901;12;13;3.2454545455;470.3;9500060
France;1901;12;14;3.6363636364;521.4;10532280
France;1901;12;15;3.1727272727;544;10988800
France;1901;12;16;3.6272727273;543.9;10986780
France;1901;12;17;2.6727272727;595.1;12021020
France;1901;12;18;2.2909090909;630.1;12728020
France;1901;12;19;2.7818181818;471.9;9532380
France;1901;12;20;3.1727272727;466.5;9423300
