Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;10;7;13.5181818182;765.3;15459060
France;1901;10;8;13.2818181818;656.9;13269380
France;1901;10;9;13.9909090909;642.4;12976480
France;1901;10;10;13.5363636364;809.8;16357960
France;1901;10;11;13.7545454545;711.8;14378360
France;1901;10;12;13.1454545455;773.3;15620660
France;1901;10;13;12.5454545455;751.5;15180300
France;1901;10;14;11.7090909091;782.2;15800440
France;1901;10;15;10.5090909091;656.1;13253220
France;1901;10;16;10.7909090909;588.5;11887700
France;1901;10;17;10.6454545455;599;12099800
France;1901;10;18;10.1545454545;709.2;14325840
France;1901;10;19;10.7818181818;706.8;14277360
France;1901;10;20;11.3727272727;695.6;14051120
France;1901;10;21;10.6272727273;588.4;11885680
France;1901;10;22;11.2454545455;556.1111111111;11233444.4444444
France;1901;10;23;11.1909090909;474.3;9580860
France;1901;10;24;10.7818181818;509.2;10285840
France;1901;10;25;11.1727272727;486.6;9829320
France;1901;10;26;11.1909090909;456.1;9213220
France;1901;10;27;10.2909090909;441.3;8914260
France;1901;10;28;10.4636363636;478.5;9665700
France;1901;10;29;10.4909090909;422.3;8530460
France;1901;10;30;9.8363636364;536.9;10845380
France;1901;10;31;10.0909090909;568;11473600
France;1901;11;1;9.6272727273;452.7;9144540
France;1901;11;2;10.0090909091;416.7;8417340
France;1901;11;3;11.0454545455;422.6;8536520
France;1901;11;4;9.8636363636;366.6;7405320
France;1901;11;5;8.8636363636;382.8;7732560
France;1901;11;6;9.0727272727;420;8484000
France;1901;11;7;8.7;280.7;5670140
France;1901;11;8;8.2363636364;336.3;6793260
France;1901;11;9;8.0454545455;363.5;7342700
France;1901;11;10;7.9636363636;227.4;4593480
France;1901;11;11;8.1545454545;362.3;7318460
France;1901;11;12;8.2818181818;390.6;7890120
France;1901;11;13;8.7;325.6;6577120
France;1901;11;14;7.9818181818;290.7;5872140
France;1901;11;15;6.8636363636;250.5;5060100
France;1901;11;16;6.6363636364;270.8;5470160
France;1901;11;17;6.7818181818;298.7;6033740
France;1901;11;18;7.0545454545;301;6080200
France;1901;11;19;6.8363636364;299.7;6053940
France;1901;11;20;6.8727272727;231.6;4678320
France;1901;11;21;7.5454545455;216.4;4371280
France;1901;11;22;7.1909090909;189;3817800
France;1901;11;23;7.5727272727;192.3;3884460
France;1901;11;24;7.2545454545;246.2;4973240
France;1901;11;25;6.2090909091;302.8;6116560
France;1901;11;26;5.9545454545;311;6282200
France;1901;11;27;5.7181818182;231.3;4672260
France;1901;11;28;4.7;297.6;6011520
France;1901;11;29;4.9272727273;231.5;4676300
France;1901;11;30;4.1363636364;266.3;5379260
France;1901;12;1;5.2090909091;233.2;4710640
France;1901;12;2;5.6363636364;246.5;4979300
France;1901;12;3;5.5363636364;235.4;4755080
France;1901;12;4;5.8818181818;251;5070200
France;1901;12;5;6.3181818182;245.6;4961120
